

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 1:00:00 (HH:MM:SS), Interval 0:00:05, 721 Reads
    Read	Fluorescence Endpoint
	G1..G12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
H													Well ID

295,335

Time	T° 295,335	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12
0:00:00	30.0	599	1275	2035	2754	3188	4209	5540	5878	9632	10678	15873	18585
0:00:05	30.1	577	1272	2004	2751	3247	4354	4970	5808	9631	10643	15951	18543
0:00:10	30.1	549	1273	1954	2693	3267	4247	4969	5767	9666	10716	15832	18793
0:00:15	30.0	545	1243	1979	2669	3178	4180	4933	5702	9472	10648	15588	18857
0:00:20	30.1	547	1206	1948	2618	3256	4144	4861	5597	9482	10654	15536	19008
0:00:25	30.1	519	1171	1919	2628	3222	4112	4812	5682	9472	10483	15404	18995
0:00:30	30.1	508	1187	1872	2591	3175	4046	4771	5519	9376	10452	15408	18825
0:00:35	30.1	484	1163	1846	2526	3112	4016	4743	5446	9227	10514	15385	18701
0:00:40	30.1	494	1140	1825	2532	3073	3957	4706	5487	9112	10338	15257	18520
0:00:45	30.0	492	1175	1772	2471	3109	3886	4665	5332	9203	10339	15264	18684
0:00:50	30.1	483	1096	1767	2372	3040	3875	4680	5337	9136	10384	15242	18491
0:00:55	30.1	468	1094	1721	2420	2986	3753	4545	5342	9083	10269	15166	18304
0:01:00	30.0	451	1096	1695	2365	2965	3809	4496	5171	9100	10149	14965	18362
0:01:05	30.1	443	1099	1737	2367	2922	3717	4469	5182	8834	10082	14945	18570
0:01:10	30.1	458	1053	1683	2322	2969	3774	4387	5145	8889	10088	15048	18591
0:01:15	30.1	443	1044	1647	2321	2859	3717	4464	5061	8902	10062	14810	18409
0:01:20	30.1	462	1040	1610	2356	2879	3599	4401	5054	8854	10049	14777	18378
0:01:25	30.1	448	1017	1613	2257	2864	3612	4434	5142	8790	9996	14594	18235
0:01:30	30.1	435	1046	1683	2235	2805	3555	4316	5015	8782	9874	14775	18061
0:01:35	30.1	436	1012	1624	2200	2792	3610	4252	4925	8774	9906	14711	18269
0:01:40	30.0	435	994	1573	2214	2753	3537	4267	4993	8681	9953	14589	18025
0:01:45	30.0	440	1019	1538	2224	2674	3535	4298	4961	8640	9791	14582	18189
0:01:50	30.1	425	1009	1553	2135	2717	3458	4191	4881	8554	9672	14502	18057
0:01:55	30.1	440	965	1574	2175	2764	3400	4211	4837	8474	9721	14455	17933
0:02:00	30.1	419	965	1523	2163	2710	3365	4149	4873	8350	9604	14521	17781
0:02:05	30.1	451	997	1519	2120	2677	3363	4154	4833	8349	9621	14576	17846
0:02:10	30.1	432	990	1505	2052	2648	3293	4068	4814	8384	9631	14347	17867
0:02:15	30.1	414	950	1495	2070	2637	3288	4117	4797	8384	9663	14457	17809
0:02:20	30.1	434	971	1530	2098	2660	3326	4109	4713	8216	9670	14301	17722
0:02:25	30.1	435	964	1460	2085	2654	3229	4060	4772	8349	9529	14440	17622
0:02:30	30.0	443	923	1507	2045	2620	3332	4070	4693	8264	9482	14266	17781
0:02:35	30.0	431	920	1463	2034	2574	3249	4035	4698	8235	9487	14206	17514
0:02:40	30.1	428	926	1490	2010	2546	3264	3952	4673	8201	9481	14162	17425
0:02:45	30.1	429	932	1435	2025	2513	3225	3979	4610	8198	9517	14179	17513
0:02:50	30.1	430	920	1472	2003	2577	3189	3959	4653	8109	9309	14185	17426
0:02:55	30.1	436	926	1423	2011	2532	3180	3958	4511	7980	9226	14002	17278
0:03:00	30.1	421	945	1400	2011	2553	3209	3924	4617	8043	9193	13950	17482
0:03:05	30.1	428	916	1435	1987	2488	3164	3933	4585	8103	9415	14076	17256
0:03:10	30.1	435	924	1443	1965	2494	3093	3875	4531	7891	9211	13960	17415
0:03:15	30.1	438	911	1391	1936	2465	3085	3843	4418	7863	9169	14007	17360
0:03:20	30.0	437	911	1426	1955	2459	3133	3858	4524	7790	9113	13945	17217
0:03:25	30.0	419	918	1415	1999	2429	3106	3831	4487	7837	9087	13730	17238
0:03:30	30.1	420	915	1402	1919	2388	3079	3837	4420	7920	9113	13898	17308
0:03:35	30.1	433	927	1421	1905	2424	3036	3857	4416	7897	8990	13769	17090
0:03:40	30.1	421	887	1382	1912	2402	3050	3773	4425	7850	9048	13792	16929
0:03:45	30.1	432	915	1362	1918	2453	3049	3853	4449	7806	9024	13600	17079
0:03:50	30.1	429	925	1380	1927	2420	3045	3742	4362	7835	8944	13680	17159
0:03:55	30.1	421	887	1388	1853	2398	2992	3729	4306	7786	8901	13554	16943
0:04:00	30.0	416	887	1369	1919	2338	3050	3786	4310	7708	8923	13472	16811
0:04:05	30.1	423	897	1361	1891	2329	2938	3675	4313	7658	8921	13706	17007
0:04:10	30.1	432	897	1367	1876	2382	3024	3698	4356	7652	8740	13444	16851
0:04:15	30.1	420	889	1360	1880	2372	3010	3692	4234	7681	8761	13478	16872
0:04:20	30.0	425	876	1407	1897	2322	3015	3685	4299	7611	8857	13332	16818
0:04:25	30.1	428	915	1368	1875	2294	2997	3663	4271	7532	8772	13509	16669
0:04:30	30.1	420	881	1368	1865	2314	2966	3665	4303	7525	8726	13435	16706
0:04:35	30.1	411	875	1363	1841	2304	2913	3589	4240	7617	8692	13430	16607
0:04:40	30.1	427	889	1367	1841	2318	2913	3608	4236	7535	8785	13405	16666
0:04:45	30.1	419	892	1363	1831	2291	2903	3593	4170	7550	8511	13124	16618
0:04:50	30.1	422	878	1373	1848	2309	2904	3588	4191	7370	8673	13306	16662
0:04:55	30.1	428	904	1325	1825	2319	2931	3598	4180	7485	8694	13264	16567
0:05:00	30.1	440	877	1361	1835	2311	2910	3522	4227	7451	8701	13175	16621
0:05:05	30.1	436	912	1343	1817	2272	2935	3608	4035	7501	8534	13158	16511
0:05:10	30.1	403	884	1345	1795	2272	2833	3519	4125	7297	8558	13058	16490
0:05:15	30.1	420	913	1371	1817	2323	2866	3595	4133	7317	8542	13209	16360
0:05:20	30.1	444	885	1341	1831	2227	2835	3551	4056	7440	8585	12909	16372
0:05:25	30.1	434	889	1345	1809	2252	2837	3489	4080	7416	8420	13143	16369
0:05:30	30.1	443	883	1358	1799	2236	2830	3477	4078	7178	8472	12894	16322
0:05:35	30.1	437	911	1314	1795	2250	2912	3542	4018	7293	8489	12972	16367
0:05:40	30.1	428	884	1358	1827	2221	2840	3495	4095	7325	8466	12973	16297
0:05:45	30.1	418	870	1352	1828	2218	2823	3477	3981	7286	8437	12973	16295
0:05:50	30.1	426	885	1319	1794	2250	2842	3501	4100	7262	8371	12819	16423
0:05:55	30.1	428	895	1310	1814	2253	2822	3499	4001	7298	8413	12992	16415
0:06:00	30.1	416	908	1321	1780	2231	2790	3394	4002	7201	8357	12798	16017
0:06:05	30.1	417	880	1323	1758	2241	2747	3460	4046	7238	8372	12921	16293
0:06:10	30.1	412	881	1290	1761	2249	2778	3525	3964	7099	8310	12954	16160
0:06:15	30.1	409	881	1319	1749	2194	2841	3449	3969	7206	8339	12887	16270
0:06:20	30.1	425	902	1343	1770	2167	2785	3461	3943	7068	8274	12896	16228
0:06:25	30.1	421	860	1332	1746	2201	2883	3440	4009	7118	8358	12856	16146
0:06:30	30.1	414	851	1314	1766	2190	2718	3395	3932	7094	8275	12748	16065
0:06:35	30.1	419	887	1306	1776	2209	2781	3358	3942	7044	8188	12747	16131
0:06:40	30.1	424	890	1310	1765	2228	2785	3473	3974	7208	8183	12630	16071
0:06:45	30.1	417	899	1311	1775	2207	2775	3445	3947	7082	8216	12691	16102
0:06:50	30.1	429	885	1295	1753	2206	2774	3328	3932	7038	8223	12771	16063
0:06:55	30.1	434	895	1335	1777	2213	2744	3391	3892	7055	8178	12538	15892
0:07:00	30.1	442	881	1295	1789	2160	2776	3411	3930	7122	8133	12616	15916
0:07:05	30.1	423	896	1310	1746	2188	2708	3375	3905	7090	8077	12613	15892
0:07:10	30.1	426	888	1296	1760	2168	2800	3380	3892	6989	8182	12605	15987
0:07:15	30.1	420	891	1273	1732	2182	2719	3360	3891	6941	8033	12551	16081
0:07:20	30.1	395	882	1352	1755	2181	2725	3346	3874	6909	8055	12583	15892
0:07:25	30.1	416	878	1325	1766	2216	2768	3338	3931	7000	8021	12541	15977
0:07:30	30.1	412	895	1302	1718	2174	2740	3344	3918	6905	8057	12678	15792
0:07:35	30.1	451	902	1332	1752	2205	2718	3315	3857	6954	7997	12589	15848
0:07:40	30.1	413	904	1318	1755	2219	2711	3336	3869	6890	8009	12559	15848
0:07:45	30.1	444	895	1287	1744	2192	2735	3323	3852	6939	7950	12496	15927
0:07:50	30.1	433	900	1310	1753	2191	2696	3293	3875	6853	7931	12481	15896
0:07:55	30.1	416	895	1305	1729	2175	2741	3285	3859	6897	7898	12435	15819
0:08:00	30.1	417	891	1308	1749	2143	2769	3307	3829	6885	7910	12441	15808
0:08:05	30.1	444	868	1324	1743	2141	2718	3310	3840	6925	7955	12389	15800
0:08:10	30.1	413	903	1336	1744	2200	2715	3309	3747	6864	7971	12390	15800
0:08:15	30.1	431	887	1323	1742	2189	2774	3299	3852	6784	7975	12297	15687
0:08:20	30.1	432	875	1293	1738	2163	2679	3273	3870	6802	7907	12295	15666
0:08:25	30.1	411	870	1297	1729	2178	2696	3264	3831	6817	7922	12390	15664
0:08:30	30.1	430	882	1301	1745	2140	2733	3286	3822	6754	7816	12334	15645
0:08:35	30.1	417	915	1317	1726	2129	2724	3262	3735	6713	7856	12513	15556
0:08:40	30.1	415	878	1289	1716	2130	2706	3301	3805	6758	7723	12244	15598
0:08:45	30.1	420	889	1319	1735	2171	2638	3269	3761	6757	7856	12203	15504
0:08:50	30.1	409	911	1275	1730	2165	2680	3218	3822	6761	7722	12222	15693
0:08:55	30.1	433	877	1314	1755	2164	2656	3263	3736	6701	7769	12316	15513
0:09:00	30.1	427	898	1306	1724	2111	2673	3225	3751	6727	7802	12274	15466
0:09:05	30.1	434	909	1285	1767	2146	2629	3228	3796	6729	7714	12174	15478
0:09:10	30.1	423	877	1325	1723	2093	2672	3262	3784	6725	7648	12084	15541
0:09:15	30.1	415	898	1311	1744	2107	2668	3227	3740	6811	7661	12223	15279
0:09:20	30.1	428	925	1288	1752	2173	2680	3288	3663	6728	7743	12116	15439
0:09:25	30.1	426	884	1282	1762	2158	2648	3250	3780	6801	7808	12123	15443
0:09:30	30.1	432	900	1322	1741	2123	2675	3233	3767	6706	7721	12107	15332
0:09:35	30.1	421	889	1300	1732	2183	2682	3207	3725	6653	7743	12072	15411
0:09:40	30.1	429	887	1298	1754	2166	2698	3223	3720	6631	7508	12192	15363
0:09:45	30.1	423	890	1296	1758	2127	2629	3201	3741	6512	7665	12126	15309
